Data,Open,High,Low,Close,Adj Close,Volume,Stock
2023-11-08,219.75,220.8000030517578,207.02000427246094,208.5500030517578,208.5500030517578,115570821,TSLA
2023-11-08,19.280000686645508,19.299999237060547,19.045000076293945,19.165000915527344,19.165000915527344,6484921,KVUE
2023-11-08,10.039999961853027,10.069999694824219,9.729999542236328,9.729999542236328,9.729999542236328,38192482,F
2023-11-08,114.09500122070312,115.80999755859375,113.27999877929688,113.77999877929688,113.77999877929688,47805281,AMD
2023-11-08,7.159999847412109,7.170000076293945,6.570000171661377,6.724999904632568,6.724999904632568,70207231,SOFI
2023-11-08,31.570899963378906,31.8700008392334,31.270000457763672,31.479999542236328,31.479999542236328,5241846,PINS
2023-11-08,474.6700134277344,482.29998779296875,469.4530944824219,471.0199890136719,471.0199890136719,42123499,NVDA
2023-11-08,182.9600067138672,184.11500549316406,182.27999877929688,182.5850067138672,182.5850067138672,35982228,AAPL
2023-11-08,28.15999984741211,28.200000762939453,27.670000076293945,27.889999389648438,27.889999389648438,31889800,BAC
2023-11-08,142.97000122070312,143.1199951171875,141.22000122070312,142.0800018310547,142.0800018310547,44442000,AMZN
2023-11-08,11.859999656677246,12.270000457763672,11.850000381469727,12.010000228881836,12.010000228881836,40843100,AAL
2023-11-08,18.850000381469727,18.93000030517578,18.149999618530273,18.489999771118164,18.489999771118164,45969000,PLTR
2023-11-08,30.489999771118164,30.5,29.7450008392334,29.770000457763672,29.770000457763672,19902749,PFE
2023-11-08,15.630000114440918,15.770000457763672,15.180000305175781,15.25,15.25,3843766,VFC
2023-11-08,13.069999694824219,13.46500015258789,12.944999694824219,12.989999771118164,12.989999771118164,7144331,PR
2023-11-08,1.0800000429153442,1.1080000400543213,1.059999942779541,1.059999942779541,1.059999942779541,6567500,LU
2023-11-08,38.04999923706055,38.51499938964844,37.78499984741211,38.03499984741211,38.03499984741211,17997994,INTC
2023-11-08,7.820000171661377,7.960000038146973,7.510000228881836,7.525000095367432,7.525000095367432,25339109,NIO
2023-11-08,35.939998626708984,36.04999923706055,35.459999084472656,35.60499954223633,35.60499954223633,9815168,VZ
2023-11-08,11.039999961853027,11.25,10.859999656677246,11.229999542236328,11.229999542236328,21412400,SNAP
2023-11-08,6.409999847412109,6.699999809265137,6.409999847412109,6.670000076293945,6.670000076293945,21460800,RIG
2023-11-08,15.680000305175781,15.75,15.550000190734863,15.574999809265137,15.574999809265137,15880739,T
2023-11-08,16.8799991607666,17.3700008392334,15.449999809265137,15.489800453186035,15.489800453186035,50996647,RIVN
2023-11-08,12.800000190734863,12.920000076293945,12.25,12.302000045776367,12.302000045776367,15859965,CCL
2023-11-08,79.87999725341797,80.25499725341797,75.87999725341797,78.50499725341797,78.50499725341797,1340983,SRPT
2023-11-08,103.66999816894531,103.97000122070312,103.0199966430664,103.20989990234375,103.20989990234375,11660155,XOM
2023-11-08,131.9600067138672,132.54100036621094,130.41000366210938,130.61500549316406,130.61500549316406,13535984,GOOGL
